そして25日夜から微熱が4日間続いた。	そして25日の夜から微熱が4日続きました。
脱毛症は止まった。	さて私の換毛状態ですが、脱毛は止まりました。
脱毛症が改善されてきて、きちんとカットすれば地毛でもいけるかもと思ったりする。	けっこう最近増えてきて、ちゃんとカットすれば地毛でもいけるかもと思ったりします。
脱毛症があるが、顔のムダ毛の脱毛はなく、手入れは欠かせない。	ちなみに顔のムダ毛は全く変化なしで、お手入れは欠かせません。
ただし、脱毛症によりまつ毛は減った。	ただ、まつ毛は減ったなあ。
副作用は、今のところ倦怠感と下痢くらいである。	副作用は、今のところ少しの怠さとちょっぴりの下り気味くらい。
血液検査異常は無く免疫能低下も見られないが、やはり免疫能低下がある。	血液検査も数値に異常はなく免疫力の低下も見られませんが、やっぱり下がってはいますね。
右腕に疼痛がある。	右腕が痛い。
倦怠感はだいぶ改善された。	身体のだるさはだいぶマシになってきた。
口内炎がたくさんできている。	口内炎がいっぱい。
医師にすすめられた亜鉛のサプリは口内炎に効いていない。	先生にすすめられた亜鉛のサプリ効いてません。
退院日(ドセタキセルの2日後)の朝、嘔気があった。	退院した日(ドセタキセルの2日後)の朝には吐き気がありました。
嘔気は3日目から6日目まであった。	吐き気は3日目から6日目までありました。
だが、まだ爪の障害が残っているようだ。	でも、まだ爪に抜けきらない影響があるようなんです。
倦怠感と嘔気が少しだけあると話した。	身体のだるさと、吐き気はそんなにないけど少しだけって話をした。
やはり悪性腫瘍は拡大していた。	やはり癌は大きくなっていた。
抗がん剤しか効かないトリプルネガティブなのに、その抗がん剤が悪性腫瘍に効いてない。	抗がん剤しか効かないトリプルネガティブなのにその抗がん剤が効いてないなんて。
今回イリノテカンを再開したが、現在のところ脱毛症は出ていない。	今回イリノテカン再開しましたが今の所まだ抜けてません。
まだ生活に支障はないが、3回目の治療後に現れた時よりも強い。	まだ生活に支障はないが、3回目の後に現れた時より強くなってる。
抑うつ気分があるのを自覚しているので、頑張りすぎず、それでも、仕事と治療には気合を入れていこう。	また少し気持ちがウツっぽくなっている自覚があるので、頑張りすぎず、でも仕事と治療には気合を入れて。
気になる副作用は便秘だ。	さて、気になる副作用は便秘。
また、筋肉痛が少しある。	それと背中の筋肉痛が少し。
骨髄制御は今のところ無い。	骨髄制御は今のところ無し。
そして、足と脇腹の皮膚炎が前回の抗がん剤治療後に治った件について、皮膚転移で皮膚がんではないかと医師に聞いたが、「うーん、わからない。そんなことはないんじゃない」と軽くスルーされてしまった。	そして、足と脇腹になかなか治らなかった湿疹というか、ただれというか、得体の知らない皮膚炎が、前回抗がん剤をやったら治った件、先生に皮膚転移で皮膚がんと、聞いたら、「うーん、わからないそんなことはないんじゃない」って、軽くスルーされてしまいました。
手足症候群が出て、指にしびれ感がある。	手も痛く、指も痺れてる。
今回の抗がん剤パクリタキセルでは、味覚障害が出ていないようだ。	今回の抗がん剤パクリタキセルは、味覚があんまり変わらん気がする。
脱毛症でまつ毛や眉毛もなくなり、人相が悪い。	脱毛でまつ毛や眉毛もなくなり、人相悪い。
加えて、前回のTS-1で顔に色素沈着がある。	しかも前回のTS-1で顔がシミだらけ。
だが、疼痛には勝てないので仕方がない。	でも、痛みには勝てないから仕方ないですね。
現時点では脱毛症は出ていない。	いまんとこまだ脱毛してないんだけど。
脱毛症を隠すためにも散歩のときに被って出かけよう。	ちょっと細くなってしまったショボショボ毛を隠すためにもお散歩のときに被って出かけようー。
嘔気は出たが、嘔吐は一度もなかった。	気持ち悪いのはありましたが、一度も吐かなかったです。
一番苦しいのは、ジーラスタの副作用の骨痛だった。	私の1番の苦しみは、ジーラスタの副作用骨痛でした。
疼痛の悪化と詰まりが頻繁になったこと等もあり、今回のオキサリプラチンは無し。	痛みが酷くなったこと、詰まりが頻繁になったこと等々もありますので今回のオキサリプラチンは無し。
疼痛と詰まるのがかなりのネックになっているので軽減されるなら何でもいい。	なんせ痛いのと詰まるのがとんでもないネックになっているから軽減してくれるなら何でも来いです。
現在は疼痛コントロールが上手くいかないので仕事を休んで備えることにする。	とりあえず今は痛みのコントロールが上手くいかないので仕事もお休みして備えます。
眼の異常感が出たためパクリタキセルからハラヴェンに変更したら、髪が生えてきた。	目に副作用が出たのでかパクリタキセルからハラヴェンに変わったら髪が生えてきた。
